class,lat,lng,hex_id
回收機構,25.081166,121.508585,894ba0a638fffff
回收機構,25.111969,121.485134,894ba0a64b3ffff
回收機構,25.108675,121.482851,894ba0a64bbffff
回收機構,25.104005,121.491225,894ba0a6427ffff
回收機構,25.107756,121.470834,894ba0b4a6fffff
回收機構,25.104015,121.487213,894ba0a6433ffff
回收機構,25.115801,121.500908,894ba0a6583ffff
回收機構,25.117055,121.500848,894ba0a6583ffff
回收機構,25.139417,121.500319,894ba0b4977ffff
回收機構,25.133154,121.493889,894ba0b4bb7ffff
回收機構,25.133154,121.493889,894ba0b4bb7ffff
回收機構,25.114937,121.498532,894ba0a6583ffff
回收機構,25.114937,121.498532,894ba0a6583ffff
回收機構,25.102141,121.499647,894ba0a6547ffff
回收機構,25.102141,121.499647,894ba0a6547ffff
回收機構,25.113398,121.502779,894ba0a658fffff
回收機構,25.117868,121.500783,894ba0a6597ffff
回收機構,25.114066,121.500573,894ba0a658fffff
回收機構,25.139157,121.499908,894ba0b4977ffff
回收機構,25.113288,121.498566,894ba0a658bffff
回收機構,25.116858,121.489714,894ba0b4b63ffff
回收機構,25.115138,121.496647,894ba0a659bffff
回收機構,25.122717,121.469172,894ba0b4abbffff
回收機構,25.121252,121.472862,894ba0b4aafffff
回收機構,25.107113,121.499364,894ba0a651bffff
回收機構,25.060113,121.600269,894ba1d3253ffff
回收機構,25.062211,121.595865,894ba0a4d37ffff
回收機構,25.06201,121.599305,894ba1d32cbffff
回收機構,25.060606,121.600446,894ba1d3253ffff
回收機構,25.062553,121.596673,894ba1d32cbffff
回收機構,25.06165,121.595603,894ba0a4d37ffff
回收機構,25.089354,121.597393,894ba1d344fffff
回收機構,25.089354,121.597393,894ba1d344fffff
回收機構,25.060352,121.598282,894ba0a4d27ffff
回收機構,25.064433,121.607198,894ba1d3203ffff
回收機構,25.064433,121.607198,894ba1d3203ffff
回收機構,25.069707,121.575477,894ba0a6b77ffff
回收機構,25.064105,121.61087,894ba1d3207ffff
回收機構,25.063745,121.58501,894ba0a4d8fffff
回收機構,25.086637,121.588227,894ba1d3693ffff
回收機構,25.062429,121.593796,894ba0a4dafffff
回收機構,25.06247,121.595288,894ba0a4d37ffff
回收機構,25.074352,121.580349,894ba0a6b37ffff
回收機構,25.083117,121.605521,894ba1d30cbffff
回收機構,25.058795,121.606671,894ba1d3247ffff
回收機構,25.058682,121.608343,894ba1d3273ffff
回收機構,25.048967,121.586267,894ba0a4d6bffff
回收機構,25.050919,121.581428,894ba0a4d4fffff
回收機構,25.038367,121.62121,894ba1d16a3ffff
回收機構,25.053452,121.58547,894ba0a4d73ffff
回收機構,25.057905,121.606167,894ba1d3247ffff
回收機構,25.04773,121.596891,894ba0a498bffff
回收機構,25.041591,121.589273,894ba0a49cbffff
回收機構,25.040816,121.587017,894ba0a4837ffff
回收機構,25.03865,121.590371,894ba0a4827ffff
回收機構,25.034793,121.623315,894ba1d16afffff
回收機構,24.999579,121.591446,894ba1da467ffff
回收機構,24.980326,121.557185,894ba0a5b07ffff
回收機構,24.996696,121.573058,894ba0a592fffff
回收機構,25.001276,121.536768,894ba0a5883ffff
回收機構,24.999579,121.591446,894ba1da467ffff
回收機構,25.005198,121.55914,894ba0a5983ffff
殯葬機構,25.003444,121.56485,894ba0a59bbffff
殯葬機構,25.058136,121.529565,894ba0a4577ffff
殯葬機構,25.062114,121.534968,894ba0a4537ffff
殯葬機構,25.044861,121.523972,894ba0a40afffff
殯葬機構,25.131696,121.500635,894ba5696d3ffff
殯葬機構,25.063904,121.536396,894ba0a4537ffff
殯葬機構,25.097096,121.527317,894ba0a6137ffff
殯葬機構,25.062647,121.534871,894ba0a4537ffff
殯葬機構,25.003444,121.56485,894ba0a59bbffff
殯葬機構,25.041281,121.550501,894ba0a4e93ffff
殯葬機構,25.041281,121.550501,894ba0a4e93ffff
殯葬機構,25.067499,121.541533,894ba0a6ac7ffff
殯葬機構,25.041281,121.550501,894ba0a4e93ffff
殯葬機構,24.988432,121.560131,894ba0a5bb7ffff
殯葬機構,24.999179,121.553576,894ba0a59c3ffff
殯葬機構,25.017731,121.550752,894ba0a5dabffff
殯葬機構,25.017849,121.550083,894ba0a5dbbffff
殯葬機構,25.040227,121.500106,894ba0a46abffff
殯葬機構,25.016515,121.55068,894ba0a5dabffff
殯葬機構,25.017234,121.549858,894ba0a5dbbffff
殯葬機構,25.003444,121.56485,894ba0a59bbffff
殯葬機構,25.047896,121.575754,894ba0a4897ffff
殯葬機構,24.997598,121.574089,894ba0a592fffff
殯葬機構,25.049681,121.557468,894ba0a4c57ffff
殯葬機構,25.089454,121.504744,894ba0a6023ffff
殯葬機構,25.063675,121.534916,894ba0a4537ffff
殯葬機構,25.017956,121.550807,894ba0a5dbbffff
殯葬機構,25.014505,121.552002,894ba0a5d07ffff
殯葬機構,25.006574,121.559456,894ba0a5983ffff
殯葬機構,25.044657,121.510414,894ba0a40d7ffff
殯葬機構,25.018008,121.550848,894ba0a5dbbffff
殯葬機構,25.034057,121.559951,894ba0a4e33ffff
殯葬機構,25.064854,121.536383,894ba0a6acbffff
殯葬機構,25.017305,121.550349,894ba0a5dabffff
