name,lat,lng,hex_id
芝欣藥局,121.554815,25.047992,894ba0a4c53ffff
立赫敦北藥局,121.547743,25.059446,894ba0a6a7bffff
富景藥局,121.563097,25.060784,894ba0a4c87ffff
健康活力藥師藥局,121.56693,25.05931,894ba0a4ca3ffff
啄木鳥藥局,121.563957,25.048936,894ba0a4c73ffff
玖田藥局,121.575529,25.050177,894ba0a4d5bffff
澄馨藥局,121.563524,25.0558,894ba0a4c17ffff
一安正昇藥局,121.566666,25.051553,894ba0a4c3bffff
杏一延吉藥局,121.552717,25.046243,894ba0a4c5bffff
松山八德藥局,121.54657,25.048043,894ba0a4133ffff
新德大藥局,121.577035,25.050743,894ba0a4d5bffff
光點延新藥局,121.565969,25.057162,894ba0a4cabffff
欣生藥局,121.561699,25.058532,894ba0a4c8fffff
杏一台北長庚藥局,121.550038,25.055685,894ba0a6a6bffff
立赫民生藥局,121.552415,25.057867,894ba0a6a6fffff
大樹松山藥局,121.560139,25.058776,894ba0a4c83ffff
佑全松山南京東藥局,121.566247,25.052005,894ba0a4c0fffff
躍獅敦北藥局,121.553124,25.057129,894ba0a6a6fffff
佑翔藥局,121.55969,25.058805,894ba0a4c83ffff
美優康藥局,121.553314,25.058242,894ba0a6a6fffff
民生盛康藥局,121.56477,25.058257,894ba0a4cbbffff
安禾大藥局,121.565625,25.064429,894ba0a6b4fffff
巧心藥局,121.552139,25.045674,894ba0a412fffff
順儷中崙藥局,121.552449,25.046849,894ba0a4127ffff
晨心藥局,121.544448,25.057987,894ba0a6a4fffff
家育藥局,121.565047,25.058848,894ba0a4cbbffff
杏一台北台安藥局,121.546527,25.048328,894ba0a4133ffff
全欣藥局,121.544238,25.051051,894ba0a41abffff
逸菁中西特約藥局,121.549792,25.045722,894ba0a4123ffff
駿俏藥局,121.54647,25.048328,894ba0a4133ffff
豐澤藥局,121.545507,25.052519,894ba0a41a3ffff
南京春天藥局,121.555376,25.051798,894ba0a4ccfffff
美仁藥局,121.552494,25.052508,894ba0a4cdbffff
禾宜藥局,121.551182,25.046085,894ba0a412fffff
康是美建華藥局,121.557434,25.05177,894ba0a4ccfffff
達昌健康藥局,121.555038,25.053388,894ba0a4cc3ffff
立健美中西藥局,121.544985,25.061767,894ba0a6a47ffff
吉仁藥局,121.553574,25.04551,894ba0a4c5bffff
延吉春天藥局,121.553504,25.046074,894ba0a4c5bffff
新東藥局,121.565445,25.059194,894ba0a4cbbffff
萬芯中西藥局,121.555331,25.048172,894ba0a4c53ffff
領悅藥局,121.553314,25.058242,894ba0a6a6fffff
興宸藥局,121.564519,25.060914,894ba0a4cb3ffff
富凱延壽藥局,121.56648,25.057206,894ba0a4cabffff
百立藥局,121.553407,25.020994,894ba0a5da3ffff
宏恩藥局,121.546113,25.036187,894ba0a4ed7ffff
靜園藥局,121.542921,25.022541,894ba0a5d93ffff
延吉大藥局,121.55479,25.040657,894ba0a4e87ffff
北陸藥局,121.555865,25.020997,894ba0a5da7ffff
杏友藥局,121.544635,25.028469,894ba0a4327ffff
師大藥局,121.528509,25.02271,894ba0a4357ffff
施寶藥局,121.542559,25.042767,894ba0a4173ffff
燕福藥局,121.532433,25.018166,894ba0a437bffff
龍護大藥局,121.545445,25.034013,894ba0a4ec3ffff
新廣生藥局,121.546722,25.03762,894ba0a416fffff
寶德藥局,121.552389,25.025124,894ba0a4e4fffff
泰佑藥局,121.551733,25.030107,894ba0a4e57ffff
