name,lat,lng,hex_id
開明公園,25.14113,121.505317,894ba0b492fffff
陽明公園,25.159016,121.539011,894ba56958fffff
新興公園,25.13934,121.48703,894ba0b4953ffff
溫泉綠地,25.138933,121.512342,894ba56944bffff
聖景一公園,25.12045,121.46351,894ba0b4a13ffff
聖景二公園,25.12038,121.46381,894ba0b4a13ffff
聖景三公園,25.12046,121.46382,894ba0b4a13ffff
榮光公園,25.11472,121.51429,894ba5692dbffff
榮富公園,25.114229,121.524726,894ba569203ffff
榮華公園,25.110549,121.521987,894ba569257ffff
福星(公1)公園,25.108828,121.512326,894ba0a6523ffff
稻中公園,25.138629,121.48928,894ba0b4953ffff
稻香公園,25.140949,121.488578,894ba0b49cfffff
線形公園(一德里),25.129796,121.471619,894ba0b487bffff
線形公園(中央北路3,25.13687,121.48244,894ba0b4823ffff
線形公園-芝山明德段,25.112372,121.517139,894ba5692cbffff
學園公園,25.128269,121.466346,894ba0b484bffff
磺港公園,25.130512,121.50446,894ba5696c7ffff
豐年公園,25.136009,121.496658,894ba0b497bffff
關渡公園,25.11973,121.46369,894ba0b4a13ffff
觀海公園,25.12358,121.463447,894ba0b4a83ffff
嗄嘮別公園,25.14035,121.48442,894ba0b49cbffff
大業綠地(北投163,25.13624,121.490539,894ba0b4943ffff
中和綠地,25.14188,121.498802,894ba0b490fffff
天溪綠地,25.13519,121.5301,894ba56901bffff
文化綠地,25.137449,121.498406,894ba0b4963ffff
北投106號綠地,25.111082,121.520904,894ba569257ffff
北投120號綠地,25.120132,121.501115,894ba0a6597ffff
北投121號綠地,25.11664,121.504989,894ba0a65b3ffff
北投122號綠地,25.113069,121.508926,894ba0a65afffff
北投123號綠地,25.117135,121.503849,894ba0a6587ffff
北投124號綠地,25.114865,121.506329,894ba0a65bbffff
北投135號綠地,25.111839,121.510307,894ba0a6533ffff
北投138號綠地,25.114419,121.502738,894ba0a658fffff
北投139號綠地,25.11502,121.503128,894ba0a658fffff
北投160號綠地,25.135316,121.496586,894ba0b497bffff
北投161號綠地 (,25.135139,121.494926,894ba0b497bffff
北投164號綠地,25.133449,121.495979,894ba0b496bffff
北投165號綠地,25.131759,121.496238,894ba0b4ba7ffff
北投166號綠地,25.13051,121.496871,894ba0b4ba7ffff
北投167號綠地,25.128405,121.497707,894ba5696dbffff
北投168號綠地,25.12437,121.499191,894ba0b4b27ffff
北投169號綠地,25.12072,121.499533,894ba0b4b2fffff
北投181號一德綠地,25.123939,121.464767,894ba0b4a87ffff
北投182號綠地,25.123399,121.467727,894ba0b4abbffff
北投183號綠地,25.12301,121.471862,894ba0b4aa3ffff
北投185號綠地,25.123425,121.464987,894ba0b4a87ffff
北投186號綠地,25.123029,121.466529,894ba0b4abbffff
北投187號綠地,25.122909,121.468292,894ba0b4abbffff
北投188號綠地,25.122749,121.470558,894ba0b4aa3ffff
北投191號綠地,25.122489,121.480842,894ba0b4bcfffff
北投192號綠地,25.122089,121.480911,894ba0b4bcfffff
北投203號綠地,25.12065,121.5031,894ba56964bffff
北投257號綠地(承,25.10442,121.512199,894ba0a6193ffff
北投39號綠地,25.121984,121.462777,894ba0b4a8fffff
北投62號綠地,25.129382,121.503215,894ba5696c3ffff
北投63號綠地,25.12759,121.503341,894ba5696cfffff
北投64號綠地,25.126383,121.503285,894ba5696cfffff
北投65號綠地,25.124689,121.503051,894ba569653ffff
北投66號綠地,25.123739,121.50296,894ba569653ffff
北投69號綠地,25.12602,121.512039,894ba56960fffff
北投90號綠地,25.118619,121.520332,894ba56928bffff
北投91號綠地,25.119029,121.521636,894ba56928bffff
北投92號綠地,25.11926,121.522277,894ba56928bffff
北投98號綠地,25.115659,121.515502,894ba5692c3ffff
永和綠地,25.12791,121.527931,894ba569043ffff
永欣綠地,25.12384,121.52695,894ba5692b3ffff
安明綠地,25.135616,121.502133,894ba0b4967ffff
奇岩4號綠地,25.126039,121.505546,894ba569657ffff
忠義公園,25.135019,121.47792,894ba0b483bffff
承仙綠地,25.11968,121.502632,894ba56964bffff
明德公園,25.107259,121.52098,894ba56924fffff
林投坑(一)綠地,25.136749,121.489372,894ba0b4943ffff
林投坑(二)綠地,25.13651,121.489097,894ba0b4943ffff
湖山綠地,25.151787,121.54383,894ba56950fffff
番仔厝綠地,25.13413,121.495903,894ba0b497bffff
磅空頂綠地,25.12298,121.465072,894ba0b4a8fffff
櫻花崗公園,25.12349,121.52616,894ba569287ffff
北投3號廣場,25.131959,121.49784,894ba0b496bffff
41號公園,25.10709,121.5644,894ba0a6d03ffff
士林官邸公園,25.0949,121.530151,894ba0a6127ffff
